"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2505","Authorized user can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1225","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1751","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1063","Guest should see login link on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1252","Guest can add product to basket","tests","2026-07-03","skipped","2026-07-03","TestProductPage","test_product_page","",""
"","1053","Guest can go to Login page from Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","5636","Guest see no messages on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","2202","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1448","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","5482","Authorized user see no messages on Product page","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","5766","Empty basket opened from Product page has no products","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1264","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1875","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1540","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1741","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
"","1097","Guest can add product to basket","tests","2026-07-03","passed","2026-07-03","TestProductPage","test_product_page","",""
